,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3404,29,8,24390,117,--,218
1,1412,2647,19,7,16960,139,--,78
2,1413,2498,28,11,20190,89,--,80
3,1414,2770,10,5,8400,277,--,189
4,1415,2821,25,5,20840,112,--,30
5,1416,3490,56,7,53260,62,--,399
6,1417,2898,30,10,25320,96,--,746
7,1418,2512,17,4,12620,147,--,245
8,1419,3164,33,8,36290,95,--,164
9,1420,2576,19,8,8830,135,--,123
10,1421,2806,21,7,12040,133,--,35
11,1422,3351,35,6,26930,95,--,33
12,1423,2734,40,6,35150,68,--,360
13,1424,3528,45,6,41040,78,--,12
14,1425,2630,20,4,18860,131,--,676
15,1426,2437,10,6,4170,243,--,390
16,1427,2865,18,5,7420,159,--,342
