,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2578,25,7,16450,103,--,29
1,1412,2827,25,4,29810,113,--,26
2,1413,3431,33,6,25830,103,--,58
3,1414,3197,42,8,38220,76,--,170
4,1415,2174,8,6,3220,271,--,7
5,1416,2531,36,7,28330,70,--,310
6,1417,2395,10,5,7530,239,--,581
7,1418,2800,17,8,9660,164,--,52
8,1419,2312,19,9,7000,121,--,44
9,1420,2340,10,7,5380,234,--,171
10,1421,2276,13,5,7320,175,--,42
11,1422,3241,38,7,28510,85,--,944
12,1423,2587,19,4,13890,136,--,913
13,1424,3200,40,7,28920,80,--,20
14,1425,3111,33,13,13840,94,--,15
15,1426,3110,21,3,24020,148,--,561
16,1427,3429,27,9,14270,127,--,231
