,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3028,19,5,7210,159,--,738
1,1412,2474,32,9,17360,77,--,44
2,1413,3113,31,7,27430,100,--,194
3,1414,2597,15,8,4940,173,--,29
4,1415,2310,19,7,14940,121,--,335
5,1416,2860,25,5,28170,114,--,400
6,1417,3209,36,12,28740,89,--,1
7,1418,2107,10,7,2810,210,--,341
8,1419,2991,27,6,16830,110,--,39
9,1420,3017,19,7,11580,158,--,289
10,1421,2195,6,6,710,365,--,160
11,1422,2640,27,9,17090,97,--,19
12,1423,3578,46,10,33640,77,--,53
13,1424,3386,25,6,22800,135,--,223
14,1425,3012,29,14,8380,103,--,63
15,1426,2364,20,7,8750,118,--,388
16,1427,3816,47,8,38240,81,--,90
