,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2913,28,5,17180,104,--,599
1,1412,2824,23,4,27010,122,--,73
2,1413,3200,34,8,25560,94,--,147
3,1414,2798,21,9,13220,133,--,828
4,1415,3236,42,7,38560,77,--,340
5,1416,3305,29,5,13340,113,--,589
6,1417,2841,30,10,27550,94,--,531
7,1418,2820,26,11,18170,108,--,421
8,1419,2921,21,8,16760,139,--,720
9,1420,3303,46,9,35100,71,--,37
10,1421,3318,52,10,46160,63,--,433
11,1422,2479,20,8,7410,123,--,35
12,1423,3029,29,6,14410,104,--,217
13,1424,2838,17,8,11220,166,--,38
14,1425,3437,46,8,45120,74,--,30
15,1426,2545,12,7,7410,212,--,1440
16,1427,2559,3,2,2830,853,--,320
