,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2829,11,6,6020,257,--,96
1,1412,2576,7,4,3240,368,--,361
2,1413,2543,12,6,9500,211,--,615
3,1414,2757,29,8,14350,95,--,170
4,1415,2189,0,0,20,--,--,2189
5,1416,3912,57,11,42830,68,--,28
6,1417,3217,27,6,21040,119,--,112
7,1418,2814,18,4,15040,156,--,33
8,1419,3293,28,8,26420,117,--,3
9,1420,2632,18,5,8780,146,--,235
10,1421,2536,12,8,4610,211,--,665
11,1422,3094,28,9,25210,110,--,261
12,1423,2796,27,9,22350,103,--,1
13,1424,2842,8,3,6000,355,--,30
14,1425,3367,47,9,50420,71,--,36
15,1426,2560,6,3,4100,426,--,385
16,1427,3389,35,6,26200,96,--,401
