,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3133,42,9,36170,74,--,90
1,1412,2400,15,5,14390,160,--,674
2,1413,1924,7,3,6020,274,--,302
3,1414,2522,15,4,8800,168,--,305
4,1415,2466,23,4,24330,107,--,1
5,1416,2001,23,6,15540,87,--,383
6,1417,2805,15,3,11560,187,--,902
7,1418,3115,37,5,32510,84,--,457
8,1419,2577,16,6,8140,161,--,993
9,1420,2456,19,4,18510,129,--,958
10,1421,2138,14,3,14380,152,--,118
11,1422,2992,33,8,22720,90,--,106
12,1423,2473,28,7,18690,88,--,190
13,1424,2858,40,6,38160,71,--,122
14,1425,2408,13,6,3240,185,--,97
15,1426,2385,38,7,35480,62,--,107
16,1427,3735,48,6,41850,77,--,33
