,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3062,6,5,1930,510,--,7
1,1412,2596,23,9,11590,112,--,65
2,1413,2794,23,7,15430,121,--,203
3,1414,3324,47,9,37440,70,--,116
4,1415,3088,31,6,28710,99,--,522
5,1416,3284,32,10,17910,102,--,9
6,1417,3770,55,11,49870,68,--,251
7,1418,2678,15,6,12530,178,--,68
8,1419,3106,39,8,28940,79,--,135
9,1420,2705,36,8,27670,75,--,164
10,1421,2622,11,4,6010,238,--,127
11,1422,2532,6,4,2830,422,--,1419
12,1423,3190,41,9,35180,77,--,165
13,1424,2915,35,8,21630,83,--,80
14,1425,2510,8,5,4160,313,--,1405
15,1426,2730,24,6,22300,113,--,32
16,1427,3789,58,10,56170,65,--,50
