,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2967,38,10,30250,78,--,66
1,1412,2913,17,2,22440,171,--,1297
2,1413,2807,22,9,13090,127,--,5
3,1414,2536,3,2,1830,845,--,2152
4,1415,2979,20,6,10170,148,--,47
5,1416,2689,8,6,3200,336,--,323
6,1417,4264,74,14,60870,57,--,9
7,1418,3054,31,5,20920,98,--,4
8,1419,3272,48,9,45670,68,--,722
9,1420,2905,36,5,35840,80,--,606
10,1421,2762,17,7,8800,162,--,104
11,1422,3133,38,8,30290,82,--,283
12,1423,2451,14,4,9790,175,--,47
13,1424,2963,17,6,11140,174,--,29
14,1425,2717,11,5,4220,247,--,324
15,1426,3025,34,10,18460,88,--,36
16,1427,2995,22,4,19940,136,--,536
