,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3121,22,6,11520,141,--,3
1,1412,2874,20,8,11450,143,--,460
2,1413,2506,10,4,7030,250,--,1297
3,1414,2659,10,5,7460,265,--,786
4,1415,2057,11,3,9200,187,--,244
5,1416,2681,17,8,10210,157,--,5
6,1417,2620,11,5,7360,238,--,511
7,1418,2526,16,4,15310,157,--,9
8,1419,2530,8,4,4650,316,--,201
9,1420,2296,12,8,3250,191,--,253
10,1421,2736,8,2,9800,342,--,705
11,1422,2652,9,5,7010,294,--,187
12,1423,2428,14,7,10450,173,--,622
13,1424,2481,21,8,14330,118,--,338
14,1425,2698,11,8,4480,245,--,46
15,1426,3306,40,9,28590,82,--,102
16,1427,3554,34,12,24610,104,--,200
