,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3278,22,5,12970,149,--,228
1,1412,2406,18,5,18210,133,--,8
2,1413,2324,7,3,7000,332,--,620
3,1414,3539,44,10,28750,80,--,25
4,1415,2339,12,4,8390,194,--,460
5,1416,2272,5,4,2820,454,--,427
6,1417,3199,36,7,25090,88,--,184
7,1418,2475,13,6,11370,190,--,607
8,1419,2965,31,3,24830,95,--,1045
9,1420,3788,67,7,67030,56,--,7
10,1421,2044,5,4,1840,408,--,322
11,1422,2874,34,6,37480,84,--,866
12,1423,2643,16,3,13960,165,--,780
13,1424,2913,33,7,33900,88,--,71
14,1425,2790,33,6,30880,84,--,145
15,1426,2866,42,7,35960,68,--,78
16,1427,2603,18,9,9990,144,--,38
