,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3313,25,5,20500,132,--,289
1,1412,2542,14,5,12890,181,--,874
2,1413,3291,29,8,13330,113,--,27
3,1414,2476,14,8,4470,176,--,217
4,1415,3175,21,6,11970,151,--,37
5,1416,2908,39,9,34480,74,--,167
6,1417,2650,22,9,15490,120,--,105
7,1418,3059,29,11,16950,105,--,44
8,1419,4010,41,7,29820,97,--,16
9,1420,2911,10,6,4200,291,--,22
10,1421,3242,44,6,30960,73,--,267
11,1422,3181,25,7,17160,127,--,59
12,1423,3194,44,6,40250,72,--,60
13,1424,3162,42,9,33550,75,--,20
14,1425,2302,8,4,3580,287,--,213
15,1426,3083,22,8,9770,140,--,102
16,1427,2816,12,7,4630,234,--,62
