,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2844,21,3,14410,135,--,801
1,1412,2812,22,5,18230,127,--,197
2,1413,3270,34,7,25580,96,--,195
3,1414,2641,9,5,4620,293,--,7
4,1415,3581,42,9,31090,85,--,332
5,1416,3208,34,7,25470,94,--,261
6,1417,3080,18,10,6390,171,--,437
7,1418,2877,22,12,6000,130,--,244
8,1419,2853,16,4,7390,178,--,571
9,1420,2698,24,7,12460,112,--,23
10,1421,2622,17,7,12080,154,--,406
11,1422,2300,19,4,19490,121,--,11
12,1423,3132,34,5,28340,92,--,154
13,1424,3129,35,8,20610,89,--,86
14,1425,2469,23,10,14660,107,--,328
15,1426,2924,27,4,20540,108,--,390
16,1427,2717,18,5,8800,150,--,418
