,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2928,30,8,26220,97,--,459
1,1412,2723,21,4,22390,129,--,63
2,1413,2385,8,4,6020,298,--,1074
3,1414,2708,17,3,15800,159,--,806
4,1415,2379,14,5,13950,169,--,752
5,1416,2327,22,4,14640,105,--,166
6,1417,3101,53,9,52600,58,--,153
7,1418,2565,12,3,12950,213,--,557
8,1419,2762,26,8,21500,106,--,1121
9,1420,2699,38,11,31260,71,--,102
10,1421,2793,19,6,18470,147,--,736
11,1422,3013,36,10,30380,83,--,170
12,1423,3035,22,7,9830,137,--,400
13,1424,2880,21,6,15100,137,--,4
14,1425,2129,12,6,7340,177,--,12
15,1426,2661,26,7,14410,102,--,25
16,1427,2761,32,5,28050,86,--,19
