,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2412,32,9,24800,75,--,--
1,1412,1954,16,4,14620,122,--,24
2,1413,2548,13,3,12450,196,--,538
3,1414,1683,6,5,1830,280,--,52
4,1415,2114,17,5,13400,124,--,128
5,1416,1998,18,5,16460,111,--,67
6,1417,2502,14,6,6900,178,--,44
7,1418,2254,12,4,7390,187,--,103
8,1419,2339,11,10,1820,212,--,79
9,1420,1355,6,4,3220,225,--,269
10,1421,3811,50,8,40390,76,--,223
11,1422,1681,7,5,2780,240,--,82
12,1423,2056,6,5,1770,342,--,657
13,1424,1854,7,4,3200,264,--,27
14,1425,1904,5,4,1800,380,--,25
15,1426,1874,6,5,2800,312,--,207
16,1427,2267,12,5,6990,188,--,31
