,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2904,31,9,31830,93,--,60
1,1412,2468,16,6,6050,154,--,466
2,1413,2594,16,5,13000,162,--,840
3,1414,4290,71,8,82080,60,--,400
4,1415,2456,9,2,9760,272,--,167
5,1416,2843,26,7,20280,109,--,63
6,1417,3088,22,2,21310,140,--,712
7,1418,3662,72,10,74320,50,--,56
8,1419,2663,19,7,11580,140,--,361
9,1420,2412,8,4,6000,301,--,363
10,1421,2068,13,4,11540,159,--,353
11,1422,2518,2,2,430,1259,--,333
12,1423,2101,15,4,11220,140,--,752
13,1424,2523,30,7,31490,84,--,182
14,1425,3187,27,8,20260,118,--,108
15,1426,2840,23,9,14450,123,--,581
16,1427,3278,37,9,24630,88,--,340
