,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2491,13,6,10210,191,--,74
1,1412,2825,23,7,17250,122,--,472
2,1413,2516,15,3,10130,167,--,126
3,1414,3317,41,5,32110,80,--,20
4,1415,2169,12,6,7320,180,--,47
5,1416,2977,26,4,23610,114,--,5
6,1417,2564,3,3,680,854,--,406
7,1418,2768,13,6,8110,212,--,436
8,1419,2849,43,9,40370,66,--,720
9,1420,3112,41,8,32140,75,--,303
10,1421,2868,29,11,16630,98,--,50
11,1422,2619,19,5,11600,137,--,496
12,1423,2705,29,4,29230,93,--,172
13,1424,2692,20,5,15800,134,--,416
14,1425,2604,16,6,15370,162,--,304
15,1426,3573,44,9,30450,81,--,72
16,1427,2349,19,9,12780,123,--,138
