,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2963,17,7,11180,174,--,59
1,1412,2655,35,10,19980,75,--,84
2,1413,2026,2,2,430,1013,--,1176
3,1414,3582,56,9,52660,63,--,41
4,1415,2703,18,7,16710,150,--,868
5,1416,2310,14,5,11170,165,--,373
6,1417,2673,23,8,12750,116,--,46
7,1418,3792,56,7,49250,67,--,376
8,1419,2424,18,7,9860,134,--,2
9,1420,2588,12,2,14390,215,--,939
10,1421,2163,9,6,4200,240,--,382
11,1422,2268,17,7,11880,133,--,311
12,1423,2081,7,4,4420,297,--,119
13,1424,2842,31,9,21000,91,--,46
14,1425,2728,11,2,11190,248,--,46
15,1426,2264,23,8,11100,98,--,61
16,1427,2491,7,4,5630,355,--,556
