,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2616,22,8,14960,118,--,127
1,1412,3579,45,9,32490,79,--,301
2,1413,2120,2,2,430,1060,--,1168
3,1414,1926,5,4,1820,385,--,126
4,1415,2336,23,3,22610,101,--,101
5,1416,2248,22,5,20890,102,--,277
6,1417,1636,5,4,1840,327,--,173
7,1418,2756,27,2,29700,102,--,197
8,1419,2465,21,7,8500,117,--,15
9,1420,1752,2,2,430,876,--,7
10,1421,3114,25,4,22740,124,--,67
11,1422,2250,19,5,17340,118,--,47
12,1423,2852,29,8,18310,98,--,100
13,1424,2109,19,5,18010,111,--,609
14,1425,1985,17,9,7400,116,--,44
15,1426,1049,17,1,22730,61,--,318
16,1427,2710,25,6,25470,108,--,149
