,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,1181,17,2,18550,69,--,153
1,1412,704,2,2,430,352,--,222
2,1413,709,2,2,420,354,--,594
3,1414,917,10,1,13980,91,--,170
4,1415,853,6,2,4490,142,--,267
5,1416,1152,17,4,18370,67,--,4
6,1417,1040,8,3,5470,130,--,128
7,1418,1037,4,1,5550,259,--,520
8,1419,828,18,2,20830,46,--,2
9,1420,518,1,1,430,518,--,405
10,1421,636,3,3,430,212,--,65
11,1422,815,1,1,430,815,--,118
12,1423,1247,24,3,28360,51,--,77
13,1424,760,2,2,430,380,--,86
14,1425,989,22,3,26640,44,--,58
15,1426,946,9,1,12440,105,--,464
16,1427,950,10,2,11640,95,--,277
