,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3064,18,6,13070,170,--,382
1,1412,3735,44,10,30240,84,--,28
2,1413,3850,55,8,57430,70,--,25
3,1414,2750,9,2,9710,305,--,183
4,1415,3234,31,9,24220,104,--,959
5,1416,3486,30,7,20880,116,--,627
6,1417,2993,17,7,9380,176,--,557
7,1418,3161,30,8,14430,105,--,13
8,1419,2985,25,7,16790,119,--,226
9,1420,2885,28,9,12810,103,--,21
10,1421,2647,17,8,8490,155,--,159
11,1422,2668,7,5,1820,381,--,23
12,1423,2856,21,8,10150,136,--,31
13,1424,3005,21,9,16590,143,--,73
14,1425,2447,18,7,9620,135,--,62
15,1426,2850,5,4,1820,570,--,1064
16,1427,3188,35,6,32090,91,--,141
