,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2802,7,5,3220,400,--,104
1,1412,2860,27,5,20710,105,--,270
2,1413,3102,44,8,47470,70,--,69
3,1414,2977,25,6,23020,119,--,105
4,1415,2241,22,7,13490,101,--,109
5,1416,2293,10,5,6810,229,--,483
6,1417,3717,54,7,59050,68,--,23
7,1418,2673,8,4,3200,334,--,315
8,1419,3259,33,5,24730,98,--,132
9,1420,3276,34,7,23920,96,--,225
10,1421,2727,19,4,11990,143,--,650
11,1422,3475,25,4,16720,139,--,114
12,1423,3155,30,8,14180,105,--,245
13,1424,2753,10,5,5900,275,--,180
14,1425,3281,42,11,35030,78,--,63
15,1426,3137,22,2,27880,142,--,11
16,1427,3359,17,10,8290,197,--,212
