,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2391,18,6,16780,132,--,22
1,1412,2903,20,8,15830,145,--,210
2,1413,2752,34,7,25730,80,--,37
3,1414,3046,23,5,17190,132,--,164
4,1415,2376,29,5,20150,81,--,124
5,1416,3227,37,9,37110,87,--,204
6,1417,2628,25,5,17130,105,--,381
7,1418,2280,11,3,12900,207,--,226
8,1419,2330,24,6,12640,97,--,336
9,1420,2793,22,8,10180,126,--,1
10,1421,2889,20,6,9970,144,--,552
11,1422,2488,26,9,23610,95,--,223
12,1423,2068,21,5,16810,98,--,232
13,1424,2559,26,7,23050,98,--,390
14,1425,2867,16,7,8780,179,--,436
15,1426,2791,46,10,39540,60,--,47
16,1427,2617,29,8,20370,90,--,103
