,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2801,23,6,24750,121,--,31
1,1412,2164,19,9,10380,113,--,27
2,1413,1988,8,3,8870,248,--,197
3,1414,2415,12,6,8840,201,--,105
4,1415,2712,17,7,8790,159,--,44
5,1416,2683,20,5,15530,134,--,319
6,1417,3407,35,8,24990,97,--,406
7,1418,2438,11,5,4570,221,--,136
8,1419,2279,12,8,3590,189,--,88
9,1420,2842,20,5,11630,142,--,376
10,1421,2696,36,10,24980,74,--,144
11,1422,2302,8,5,3450,287,--,301
12,1423,2266,21,4,16440,107,--,289
13,1424,3098,21,3,24670,147,--,2179
14,1425,2608,31,5,31010,84,--,507
15,1426,2085,15,3,16740,139,--,20
16,1427,2258,11,8,4600,205,--,37
