,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2301,17,6,8430,135,--,118
1,1412,3081,41,5,34550,75,--,472
2,1413,1651,9,6,2820,183,--,355
3,1414,2184,16,5,8250,136,--,100
4,1415,2249,4,2,2810,562,--,1438
5,1416,2871,33,6,36170,87,--,12
6,1417,2684,22,4,25090,122,--,347
7,1418,2707,28,11,12940,96,--,308
8,1419,2149,3,2,1850,716,--,248
9,1420,1698,16,6,7890,106,--,287
10,1421,1927,14,5,9050,137,--,150
11,1422,2221,13,8,4290,170,--,166
12,1423,1744,16,6,11490,109,--,98
13,1424,1801,12,3,13020,150,--,53
14,1425,2767,40,7,36780,69,--,271
15,1426,2109,16,7,8530,131,--,68
16,1427,2144,27,6,15400,79,--,7
