,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1464,11,3,11,3,38,32,15
1,1465,6,21,18,34,20,30,21
2,1480,0,52,3,30,33,6,42
3,1481,30,32,19,21,40,25,28
4,1482,1,30,16,26,8,14,13
5,1483,5,39,15,36,14,43,17
6,1484,2,21,29,21,17,13,26
7,1485,1,24,13,39,10,37,55
8,1486,18,26,8,18,73,7,23
9,1487,6,17,4,19,14,3,10
10,1488,9,24,27,45,9,40,7
11,1489,4,34,1,38,27,47,31
12,1490,8,12,12,35,5,28,31
13,1491,11,15,34,13,28,15,18
14,1492,1,37,38,7,16,12,34
15,1493,1,27,23,11,30,61,21
16,平均,27,22,25,27,22,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
