,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2597,11,6,5590,236,--,311
1,1412,3117,20,5,9770,155,--,441
2,1413,2366,10,5,6750,236,--,271
3,1414,3621,50,4,41120,72,--,17
4,1415,2465,20,7,14570,123,--,332
5,1416,3008,37,8,33360,81,--,309
6,1417,2734,28,7,20000,97,--,21
7,1418,2270,15,7,9780,151,--,546
8,1419,2620,11,3,10190,238,--,107
9,1420,2286,25,8,19620,91,--,247
10,1421,3143,50,6,49470,62,--,299
11,1422,1989,14,6,11500,142,--,61
12,1423,2756,32,7,17000,86,--,148
13,1424,2924,32,8,24810,91,--,75
14,1425,2999,25,9,8790,119,--,124
15,1426,3266,51,9,38310,64,--,122
16,1427,2677,21,7,12220,127,--,196
