,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2620,19,5,14000,137,--,62
1,1412,2812,7,2,5600,401,--,1966
2,1413,2732,13,6,4630,210,--,6
3,1414,2552,15,6,7220,170,--,404
4,1415,3272,29,6,23170,112,--,197
5,1416,2389,8,5,4960,298,--,10
6,1417,2447,4,3,2890,611,--,506
7,1418,2819,28,7,17200,100,--,468
8,1419,3165,32,9,18890,98,--,90
9,1420,2359,18,3,21290,131,--,812
10,1421,2322,4,4,430,580,--,112
11,1422,2615,9,5,6000,290,--,4
12,1423,2539,19,5,14470,133,--,622
13,1424,3247,35,7,25730,92,--,130
14,1425,2178,17,3,18130,128,--,207
15,1426,2814,32,7,27800,87,--,344
16,1427,2772,44,5,50460,63,--,630
