,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2520,10,5,7420,252,--,196
1,1412,3170,31,13,20520,102,--,211
2,1413,2634,19,6,12890,138,--,400
3,1414,2780,21,6,13380,132,--,37
4,1415,3830,48,8,47780,79,--,42
5,1416,3257,22,8,16740,148,--,370
6,1417,2503,19,7,10200,131,--,179
7,1418,3870,42,8,34290,92,--,1
8,1419,2917,29,9,17130,100,--,402
9,1420,3162,18,4,17040,175,--,71
10,1421,3305,36,11,18330,91,--,248
11,1422,2990,21,5,14390,142,--,249
12,1423,2902,18,6,12570,161,--,75
13,1424,3548,45,11,34650,78,--,109
14,1425,2261,10,4,8790,226,--,824
15,1426,3063,26,5,19790,117,--,12
16,1427,3380,40,10,25830,84,--,47
