,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3312,42,10,28960,78,--,78
1,1412,2577,18,5,13440,143,--,1
2,1413,2544,13,6,5990,195,--,29
3,1414,3024,28,8,17440,108,--,414
4,1415,2421,14,6,5600,172,--,391
5,1416,3808,47,8,53150,81,--,414
6,1417,3280,29,6,22990,113,--,231
7,1418,2935,29,9,14840,101,--,5
8,1419,3406,53,11,42280,64,--,5
9,1420,2437,11,4,10060,221,--,423
10,1421,2859,23,8,21350,124,--,186
11,1422,3156,27,8,11190,116,--,305
12,1423,3235,36,8,24580,89,--,6
13,1424,3547,47,9,33550,75,--,94
14,1425,2947,31,10,18720,95,--,185
15,1426,2930,17,4,14360,172,--,608
16,1427,2665,7,2,8410,380,--,691
