,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2643,23,6,13810,114,--,206
1,1412,2677,21,6,19700,127,--,179
2,1413,2784,23,6,12810,121,--,169
3,1414,2388,23,5,19910,103,--,50
4,1415,2889,32,9,24980,90,--,24
5,1416,3485,53,10,43310,65,--,60
6,1417,2490,12,5,9740,207,--,52
7,1418,2528,22,5,22990,114,--,367
8,1419,2374,16,4,15410,148,--,369
9,1420,2530,18,4,8670,140,--,54
10,1421,2450,14,6,11560,175,--,534
11,1422,2375,15,2,18470,158,--,391
12,1423,2434,27,5,17410,90,--,23
13,1424,3405,53,7,51540,64,--,193
14,1425,2812,34,8,27640,82,--,405
15,1426,2738,18,7,8790,152,--,72
16,1427,2465,16,7,4640,154,--,166
