,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3191,37,11,30900,86,--,663
1,1412,2628,21,4,18320,125,--,792
2,1413,2945,29,9,21890,101,--,165
3,1414,2922,26,6,28730,112,--,431
4,1415,3275,35,8,22080,93,--,357
5,1416,2766,20,5,14340,138,--,149
6,1417,2989,26,9,12560,114,--,258
7,1418,3053,44,7,50300,69,--,214
8,1419,2676,34,6,34480,78,--,111
9,1420,2474,21,7,9150,117,--,323
10,1421,2343,15,5,11570,156,--,683
11,1422,2761,24,7,16600,115,--,148
12,1423,3161,25,6,20380,126,--,26
13,1424,2764,16,6,16040,172,--,254
14,1425,3209,34,10,13870,94,--,261
15,1426,2534,25,6,13940,101,--,249
16,1427,2851,29,4,35220,98,--,358
