,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3032,49,12,34720,61,--,17
1,1412,3131,32,9,27930,97,--,2
2,1413,2192,4,1,5480,548,--,1364
3,1414,2606,17,8,7970,153,--,4
4,1415,2621,11,3,10120,238,--,386
5,1416,3286,34,6,19670,96,--,193
6,1417,2783,35,8,26180,79,--,344
7,1418,2671,24,7,16200,111,--,530
8,1419,2817,20,9,9580,140,--,322
9,1420,2348,10,5,7420,234,--,471
10,1421,2406,20,7,14540,120,--,148
11,1422,2656,25,9,18400,106,--,6
12,1423,2598,17,7,8040,152,--,133
13,1424,2684,15,4,14310,178,--,199
14,1425,2428,11,5,4210,220,--,126
15,1426,3395,49,7,43600,69,--,8
16,1427,2624,10,5,4360,262,--,272
