,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,2710,26,3,29460,104,--,59
1,1412,2725,15,6,8770,181,--,51
2,1413,2857,34,3,40310,84,--,1108
3,1414,3713,62,9,61340,59,--,219
4,1415,2823,31,7,17940,91,--,164
5,1416,2963,23,5,18330,128,--,18
6,1417,2657,11,8,4590,241,--,158
7,1418,3391,39,7,22680,86,--,144
8,1419,3514,32,4,35510,109,--,375
9,1420,2307,4,3,1810,576,--,425
10,1421,3150,43,6,44200,73,--,63
11,1422,2495,8,5,4600,311,--,301
12,1423,2770,25,7,15020,110,--,321
13,1424,2286,11,7,3180,207,--,108
14,1425,2354,21,8,10130,112,--,16
15,1426,2840,19,5,13480,149,--,156
16,1427,3101,20,4,17120,155,--,6
