,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3103,27,7,22390,114,--,223
1,1412,2630,18,7,11210,146,--,264
2,1413,2882,31,9,19280,92,--,332
3,1414,3655,42,6,35990,87,--,2
4,1415,2675,34,8,17040,78,--,12
5,1416,2961,33,6,17640,89,--,229
6,1417,3476,30,10,16780,115,--,395
7,1418,2883,14,6,4930,205,--,320
8,1419,2970,20,4,11240,148,--,20
9,1420,2712,27,6,27090,100,--,315
10,1421,3789,44,8,42090,86,--,670
11,1422,2905,21,5,14100,138,--,565
12,1423,3046,25,9,8800,121,--,387
13,1424,2758,46,11,39540,59,--,118
14,1425,3345,46,7,38670,72,--,640
15,1426,2523,18,4,17140,140,--,39
16,1427,3051,21,7,19980,145,--,491
