,大当り回数,時間,スタート回数
1,--,--,405
2,28,20:45,1
3,27,20:42,5
4,26,20:40,321
5,25,19:22,291
6,24,18:10,2
7,23,18:07,1
8,22,18:05,79
9,21,17:47,424
10,20,16:01,1
