,大当り回数,時間,スタート回数
1,--,--,33
2,24,22:13,213
3,23,21:10,1061
4,22,16:27,4
5,21,16:25,158
6,20,15:38,1
7,19,15:36,1
8,18,15:34,1
9,17,15:33,2
10,16,15:30,2
