,大当り回数,時間,スタート回数
1,--,--,187
2,9,20:40,487
3,8,18:31,226
4,7,17:31,108
5,6,17:19,13
6,5,17:17,13
7,4,17:15,13
8,3,17:13,19
9,2,17:11,889
10,1,13:09,697
