,大当り回数,時間,スタート回数
1,--,--,30
2,8,22:16,1930
3,7,14:16,38
4,6,14:14,69
5,5,14:11,4
6,4,14:09,8
7,3,14:02,438
8,2,11:57,6
9,1,11:51,319
