,大当り回数,時間,スタート回数
1,--,--,223
2,25,20:58,3
3,24,20:53,553
4,23,18:44,44
5,22,18:41,19
6,21,18:39,1
7,20,18:37,113
8,19,18:34,450
9,18,16:47,37
10,17,16:45,64
11,16,16:43,6
12,15,16:42,4
13,14,16:41,22
14,13,16:39,26
15,12,16:38,43
16,11,16:36,61
17,10,16:34,24
