,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,221,2243,25,5,16060,89,442,596
1,222,1845,10,7,3190,184,262,110
2,223,1714,12,4,11660,142,426,142
3,224,1646,17,7,12290,96,232,508
4,225,1334,28,7,25250,47,186,490
5,226,1922,25,9,13440,76,210,--
6,227,1720,7,3,4640,245,569,248
7,228,1494,37,7,32840,40,206,69
