,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,221,1876,53,12,38860,35,151,5
1,222,1879,23,6,17150,81,308,44
2,223,1890,35,8,27750,54,231,136
3,224,1262,44,5,54240,28,243,137
4,225,2468,17,6,7430,145,408,92
5,226,1936,28,3,32810,69,634,487
6,227,1992,31,5,18180,64,390,281
7,228,2234,32,10,16310,69,220,--
