,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,277,--,--,--,--,--,--,--
1,278,--,--,--,--,--,--,--
2,279,--,--,--,--,--,--,--
3,280,--,--,--,--,--,--,--
4,平均,--,--,--,--,--,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
