,大当り回数,時間,スタート回数
1,--,--,3
2,34,22:04,1
3,33,22:02,1
4,32,22:00,1
5,31,21:59,1
6,30,21:57,2
7,29,21:54,1
8,28,21:52,2
9,27,21:49,5
10,26,21:47,199
