,大当り回数,時間,スタート回数
1,--,--,533
2,17,19:56,1
3,16,19:54,2
4,15,19:52,151
5,14,19:12,4
6,13,19:10,584
7,12,15:58,688
8,11,12:50,195
9,10,11:25,2
10,9,11:21,1
