,大当り回数,時間,スタート回数
1,--,--,322
2,15,20:57,224
3,14,20:04,1
4,13,20:03,4
5,12,20:01,895
6,11,16:13,2
7,10,16:11,1
8,9,16:09,1
9,8,16:07,1
10,7,16:05,2
