,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1339,2376,30,10,17430,79,--,3
1,1340,2182,67,10,72110,32,--,448
2,1341,2548,10,4,7520,254,--,57
3,1342,2560,22,9,4700,116,--,61
4,1343,2319,34,10,15980,68,--,3
5,1344,2376,29,8,14760,81,--,1
6,1345,2331,29,7,19000,80,--,108
7,1346,2012,68,9,64730,29,--,2
8,1347,2731,30,11,13320,91,--,520
9,1348,2386,34,5,30970,70,--,385
