,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1339,2184,46,9,37490,47,--,81
1,1340,2098,69,7,72150,30,--,2
2,1341,2333,34,8,27420,68,--,183
3,1342,2676,17,5,10190,157,--,5
4,1343,2364,19,5,12080,124,--,60
5,1344,2502,22,5,13720,113,--,200
6,1345,2235,30,11,15900,74,--,356
7,1346,2421,24,12,14520,100,--,101
8,1347,2511,28,10,19660,89,--,164
9,1348,2617,28,9,18460,93,--,405
