,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1339,2240,12,4,9040,186,--,360
1,1340,2254,29,7,18040,77,--,223
2,1341,2218,6,6,310,369,--,2
3,1342,2015,7,6,1710,287,--,21
4,1343,2121,40,6,25990,53,--,77
5,1344,1726,13,8,3190,132,--,2
6,1345,2122,15,5,9840,141,--,154
7,1346,2102,28,10,15090,75,--,85
8,1347,2127,18,7,14370,118,--,155
9,1348,2295,24,5,27000,95,--,1562
