,大当り回数,時間,スタート回数
1,--,--,536
2,22,19:12,38
3,21,19:00,866
4,20,14:52,33
5,19,14:50,59
6,18,14:48,28
7,17,14:47,3
8,16,14:46,13
9,15,14:44,42
10,14,14:39,6
11,13,14:36,17
12,12,14:32,35
13,11,14:30,1
14,10,14:28,8
15,9,14:26,10
16,8,14:24,77
17,7,14:17,49
