,大当り回数,時間,スタート回数
1,--,--,2
2,31,22:36,1
3,30,22:35,1
4,29,22:33,1
5,28,22:31,1
6,27,22:29,1
7,26,22:27,1
8,25,22:25,1
9,24,22:23,3
10,23,22:20,2
