,大当り回数,時間,スタート回数
1,--,--,170
2,42,21:26,4
3,41,21:25,35
4,40,21:23,9
5,39,21:20,2
6,38,21:19,2
7,37,21:17,40
8,36,21:01,64
9,35,20:56,12
10,34,20:54,193
11,33,20:22,5
12,32,20:19,69
13,31,20:14,331
14,30,18:12,34
15,29,18:10,26
16,28,18:08,1
17,27,18:07,24
