,大当り回数,時間,スタート回数
1,--,--,242
2,35,19:25,28
3,34,19:24,14
4,33,19:22,36
5,32,19:18,9
6,31,19:15,82
7,30,18:16,30
8,29,18:14,107
9,28,18:12,27
10,27,18:10,4
11,26,18:09,7
12,25,18:07,1
13,24,18:06,85
14,23,18:04,8
15,22,18:02,21
16,21,18:01,18
17,20,17:59,7
18,19,17:58,16
19,18,17:57,11
20,17,17:55,37
21,16,17:54,5
22,15,17:52,12
23,14,17:51,16
24,13,17:49,84
