日付,店舗,機種,台,logic,結果
2022-10-07,osaka_rakuen_namba,eva,1355,logic_1,
2022-10-07,osaka_rakuen_namba,eva,1360,logic_1,
2022-10-07,osaka_rakuen_namba,eva,1342,logic_1,
2022-10-07,osaka_rakuen_namba,eva,1354,logic_1,
2022-10-07,osaka_rakuen_namba,eva,1342,logic_1,
