日付,店舗,機種,台,logic,結果
2022-10-07,osaka_rakuen_namba,eva,1341,logic_2,
2022-10-07,osaka_rakuen_namba,eva,1342,logic_2,
2022-10-07,osaka_rakuen_namba,eva,1352,logic_2,
