,大当り回数,時間,スタート回数
1,--,--,396
2,22,20:40,765
3,21,17:47,2
4,20,17:44,2
5,19,17:41,2
6,18,17:39,1
7,17,17:37,3
8,16,17:34,3
9,15,17:32,319
10,14,16:14,1
