,大当り回数,時間,スタート回数
1,--,--,253
2,13,21:03,1039
3,12,16:22,39
4,11,15:54,2
5,10,15:51,1
6,9,15:49,1
7,8,15:48,1
8,7,15:46,1
9,6,15:44,1
10,5,15:42,1
