,大当り回数,時間,スタート回数
1,--,--,67
2,36,20:44,39
3,35,20:42,23
4,34,20:39,7
5,33,20:38,8
6,32,20:32,15
7,31,20:30,19
8,30,20:28,5
9,29,20:26,100
10,28,20:22,9
11,27,20:20,15
12,26,20:18,13
13,25,20:16,7
14,24,20:15,27
15,23,20:12,153
16,22,19:59,35
17,21,19:56,251
18,20,18:07,34
19,19,18:04,21
20,18,18:02,515
21,17,15:36,15
22,16,15:32,31
23,15,15:19,355
24,14,13:32,18
