,大当り回数,時間,スタート回数
1,--,--,522
2,31,20:26,55
3,30,20:18,67
4,29,20:00,32
5,28,19:56,12
6,27,19:54,185
7,26,19:30,29
8,25,19:22,3
9,24,19:19,81
10,23,19:13,33
11,22,18:57,512
12,21,15:42,4
13,20,15:41,1
14,19,15:40,10
15,18,15:38,10
16,17,15:37,124
17,16,15:34,9
