,大当り回数,時間,スタート回数
1,--,--,142
2,25,21:33,25
3,24,21:23,181
4,23,20:41,22
5,22,20:38,31
6,21,20:32,71
7,20,20:14,73
8,19,20:12,2
9,18,20:11,89
10,17,20:09,58
11,16,20:06,30
12,15,20:02,14
13,14,19:59,97
14,13,19:30,133
15,12,18:56,277
16,11,16:13,546
17,10,14:12,51
18,9,14:10,9
19,8,14:09,17
20,7,14:07,5
21,6,14:05,47
22,5,14:00,41
23,4,13:50,23
24,3,13:47,134
