,大当り回数,時間,スタート回数
1,--,--,99
2,29,20:21,20
3,28,20:20,112
4,27,20:16,11
5,26,20:15,1
6,25,20:14,83
7,24,20:11,93
8,23,20:09,25
9,22,20:07,3
10,21,20:05,33
11,20,20:02,53
12,19,19:57,88
13,18,19:17,266
14,17,18:01,42
15,16,17:59,135
16,15,17:01,5
17,14,17:00,28
18,13,16:58,3
19,12,16:56,11
20,11,16:54,5
21,10,16:50,268
22,9,14:45,14
23,8,14:43,20
24,7,14:42,25
