,大当り回数,時間,スタート回数
1,--,--,66
2,16,20:34,1
3,15,20:33,1
4,14,20:32,4
5,13,20:31,1
6,12,20:31,1
7,11,20:30,3
8,10,20:30,2
9,9,20:29,1
10,8,20:29,1
11,7,20:28,1
12,6,20:28,1
13,5,20:28,1
14,4,20:26,2
15,3,20:26,1
16,2,20:25,4
17,1,20:23,592
