,大当り回数,時間,スタート回数
1,--,--,19
2,27,22:05,42
3,26,21:50,266
4,25,20:35,11
5,24,20:34,30
6,23,20:32,23
7,22,20:31,10
8,21,20:29,42
9,20,20:27,45
10,19,20:25,2
11,18,20:23,16
12,17,20:20,61
13,16,20:00,400
14,15,18:16,22
15,14,18:15,51
16,13,18:07,16
17,12,18:05,44
18,11,18:01,91
19,10,17:51,129
20,9,17:25,49
21,8,17:22,174
22,7,16:17,171
23,6,15:42,71
24,5,15:23,66
