,大当り回数,時間,スタート回数
1,--,--,270
2,27,20:35,335
3,26,19:13,21
4,25,19:11,50
5,24,19:09,12
6,23,19:07,27
7,22,19:04,23
8,21,19:02,185
9,20,18:22,88
10,19,18:19,43
11,18,18:17,3
12,17,18:15,2
13,16,18:14,98
14,15,18:12,28
15,14,18:10,15
16,13,18:08,29
17,12,18:05,15
