,大当り回数,時間,スタート回数
1,--,--,225
2,23,19:46,1
3,22,19:44,2
4,21,19:42,1
5,20,19:40,951
6,遊ﾀｲﾑ,19:39,(950)
7,19,15:56,421
8,18,14:08,2
